 ** OS Runtime Summary (osrt_sum):

 Time (%)  Total Time (ns)  Num Calls     Avg (ns)         Med (ns)       Min (ns)      Max (ns)       StdDev (ns)             Name         
      0.0           45,110          7          6,444.3          7,122.0        3,910          9,846          1,999.0  open                  
      0.0           42,109          3         14,036.3         15,642.0        4,749         21,718          8,597.7  fread                 
      0.0           30,233         18          1,679.6          1,466.0        1,396          2,863            443.9  fflush                
      0.0           28,002          5          5,600.4          4,330.0        3,701          9,637          2,425.9  fopen64               
      0.0           20,459         14          1,461.4          1,431.5        1,396          1,885            126.8  flockfile             
      0.0           20,042          2         10,021.0         10,021.0        6,215         13,827          5,382.5  socket                
      0.0           17,528          1         17,528.0         17,528.0       17,528         17,528              0.0  connect               
      0.0           17,181         10          1,718.1          1,886.0        1,397          1,956            263.8  dup                   
      0.0           10,056          1         10,056.0         10,056.0       10,056         10,056              0.0  pipe2                 
      0.0            2,793          1          2,793.0          2,793.0        2,793          2,793              0.0  bind                  
      0.0            1,956          1          1,956.0          1,956.0        1,956          1,956              0.0  listen                

Processing [reports/onnx_infer_profile.sqlite] with [/opt/nvidia/nsight-systems/2024.4.1/host-linux-x64/reports/cuda_api_sum.py]... 

 ** CUDA API Summary (cuda_api_sum):

 Time (%)  Total Time (ns)  Num Calls    Avg (ns)     Med (ns)    Min (ns)   Max (ns)    StdDev (ns)                Name             
 --------  ---------------  ---------  ------------  -----------  --------  -----------  ------------  ------------------------------
     42.4      978,430,875         83  11,788,323.8  1,555,978.0     1,466  703,233,089  78,870,306.5  cudaFree                      
     15.5      356,656,560        334   1,067,834.0    228,452.5     4,748   17,348,152   2,436,644.9  cudaEventSynchronize          
     13.2      303,193,632     19,013      15,946.6      4,818.0     2,444   91,590,908     728,578.4  cudaLaunchKernel              
     13.1      302,967,335         20  15,148,366.8      5,027.5     4,259  302,851,271  67,718,237.1  cudaDeviceSynchronize         
      9.9      229,298,735         75   3,057,316.5  1,373,299.0     2,863   81,640,851  11,985,269.3  cudaMalloc                    
      2.3       52,493,713        220     238,607.8     64,489.0    20,390    1,827,831     294,583.1  cudaMemcpyAsync               
      0.7       15,460,005         36     429,444.6    145,388.5    23,883    4,541,754     812,228.8  cuLibraryUnload               
      0.5       12,446,543        108     115,245.8      8,973.5     4,748    1,290,408     271,347.5  cudaMemcpy                    
      0.5       11,115,963      2,294       4,845.7      4,400.0     3,282       29,119       1,254.5  cudaStreamWaitEvent           
      0.4        9,793,390        328      29,857.9      5,657.0     3,771      547,266      68,371.7  cudaStreamSynchronize         
      0.3        5,830,620         86      67,797.9      8,519.0     5,168    3,547,767     405,265.6  cudaStreamCreateWithFlags     
      0.3        5,819,111      2,022       2,877.9      2,375.0       908       19,134       1,529.3  cudaEventRecord               
      0.2        4,646,358        776       5,987.6      4,679.0     3,282      783,505      28,011.6  cudaLaunchKernelExC_v11060    
      0.2        3,804,468        562       6,769.5      6,215.0     5,237       41,550       2,730.0  cudaMemsetAsync               
      0.1        2,285,709        334       6,843.4      5,726.0     3,422       56,074       3,988.2  cudaStreamBeginCapture_v10000 
      0.1        2,145,158      1,532       1,400.2      1,397.0       907        5,586         284.8  cuGetProcAddress_v2           
      0.1        1,847,522         54      34,213.4     27,444.0    23,254      219,060      27,163.4  cudaMemGetInfo                
      0.1        1,189,223          2     594,611.5    594,611.5    13,268    1,175,955     822,143.9  cudaHostAlloc                 
      0.0        1,037,419        746       1,390.6      1,397.0       907        2,863         257.3  cuGetProcAddress              
      0.0          913,464         86      10,621.7      8,345.5     5,866       37,709       6,090.9  cudaStreamDestroy             
      0.0          773,519        334       2,315.9      1,955.0       977       12,011         875.1  cudaGraphDestroy_v10000       
      0.0          735,873        334       2,203.2      1,955.0       977        8,519         671.3  cudaStreamEndCapture_v10000   
      0.0          570,097        280       2,036.1      1,886.0       907        6,564         695.9  cudaEventDestroy              
      0.0          524,013          2     262,006.5    262,006.5    14,385      509,628     350,189.7  cudaFreeHost                  
      0.0          377,231        100       3,772.3      3,352.0     1,466       15,992       1,828.4  cudaEventCreate               
      0.0          352,150        180       1,956.4      1,850.5       977       15,293       1,206.6  cudaEventCreateWithFlags      
      0.0          128,071         53       2,416.4      1,956.0     1,397        6,634         891.5  cudaGetDriverEntryPoint_v11030
      0.0           88,125         57       1,546.1      1,466.0       977        2,444         324.4  cuModuleGetLoadingMode        
      0.0           14,735          6       2,455.8      2,375.0     2,374        2,793         167.5  cuInit                        
      0.0            4,259          2       2,129.5      2,129.5     1,885        2,374         345.8  cudaStreamIsCapturing_v10000  

Processing [reports/onnx_infer_profile.sqlite] with [/opt/nvidia/nsight-systems/2024.4.1/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances   Avg (ns)     Med (ns)    Min (ns)   Max (ns)   StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  -----------  -----------  ---------  ---------  -----------  ----------------------------------------------------------------------------------------------------
     16.4      135,125,187        864    156,394.9    147,547.0    101,105    730,903     56,431.0  ampere_gcgemm_64x32_tn                                                                              
     12.4      102,535,181      2,630     38,986.8     34,683.0     10,110    122,990     16,187.3  void implicit_convolve_sgemm<float, float, (int)1024, (int)5, (int)5, (int)3, (int)3, (int)3, (int)…
      7.4       61,335,624         96    638,912.8    117,710.5      3,935  3,970,848  1,023,085.4  void fft2d_r2c_16x16<float>(float2 *, const T1 *, int, int, int, int, int, int, int, int)           
      5.2       43,160,735      1,016     42,481.0     27,708.0     21,533     87,284     22,860.6  cudnn_infer_ampere_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148n_nt_v1                            
      4.9       40,242,846        554     72,640.5     67,414.5     48,793    431,969     23,290.3  void precomputed_convolve_sgemm<float, (int)1024, (int)5, (int)5, (int)4, (int)3, (int)3, (int)1, (…
      4.3       35,259,833      1,042     33,838.6     28,156.0     24,220    143,403     12,425.0  void implicit_convolve_sgemm<float, float, (int)128, (int)5, (int)5, (int)3, (int)3, (int)3, (int)1…
      3.9       31,952,677         34    939,784.6    809,146.5      8,639  3,664,684  1,180,024.9  void fft2d_r2c_32x32<float, (bool)0, (unsigned int)1, (bool)1>(float2 *, const T1 *, int, int, int,…
      3.3       27,507,784         66    416,784.6     21,309.0      4,607  2,910,363    721,684.6  void internal::region_transform_ABC_val<int, (int)32, (int)32, (bool)0, internal::TransformParamsAB…
      3.2       26,621,631        556     47,880.6     43,130.0     39,162    339,567     15,463.7  sm80_xmma_fprop_implicit_gemm_indexed_tf32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize128x128x16_stage4_w…
      3.0       25,068,898         92    272,488.0     91,363.0      7,071  1,496,550    382,666.1  void flip_filter<float, float>(T2 *, const T1 *, int, int, int, int)                                
      2.8       23,204,732         16  1,450,295.8    793,549.0    792,046  3,467,689    988,286.1  void gemv2T_kernel_val<int, int, float2, float2, float2, float2, (int)128, (int)16, (int)4, (int)4,…
      2.4       19,504,757      1,016     19,197.6      3,936.0      1,856     78,005     23,679.8  void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWi…
      2.3       18,775,835          6  3,129,305.8  2,971,473.0  2,957,139  3,944,036    399,196.5  std::enable_if<T7, void>::type internal::gemvx::kernel<int, int, float2, float2, float2, float2, (b…
      2.1       17,665,815         64    276,028.4    237,917.0    112,751    666,304    187,188.8  void implicit_convolve_sgemm<float, float, (int)128, (int)6, (int)7, (int)3, (int)3, (int)5, (int)1…
      2.1       17,117,932         28    611,354.7    766,000.5    196,195  1,426,513    349,783.0  std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, float2, float2, float2, float2, (…
      2.0       16,858,641         38    443,648.4    198,371.0     12,286  1,545,823    495,209.1  void fft2d_r2c_32x32<float, (bool)0, (unsigned int)1, (bool)0>(float2 *, const T1 *, int, int, int,…
      1.9       15,321,806         82    186,851.3     62,407.0     10,910    941,240    240,313.6  ampere_gcgemm_64x64_nt                                                                              
      1.8       15,146,121         44    344,230.0    117,214.5     11,710  2,034,233    463,182.5  void fft2d_r2c_64x64<float, (bool)1>(float2 *, const T1 *, int, int, int, int, int, int, int, int)  
      1.8       15,133,541      1,604      9,434.9      3,647.5      1,760     54,136     12,280.7  void cudnn::ops::nchwToNhwcKernel<float, float, float, (bool)0, (bool)1, (cudnnKernelDataType_t)2>(…
      1.6       13,582,936      1,760      7,717.6      4,255.0      2,432     27,004      6,621.0  void onnxruntime::cuda::_BinaryElementWiseSimple<(bool)1, (bool)1, float, float, float, onnxruntime…
      1.6       13,179,169      2,200      5,990.5      4,479.0      3,455     17,886      2,452.9  void op_generic_tensor_kernel<(int)3, float, float, float, (int)256, (cudnnGenericOp_t)0, (cudnnNan…
      1.6       12,812,603         22    582,391.0    708,169.5    193,091    768,977    244,727.6  std::enable_if<T7, void>::type internal::gemvx::kernel<int, int, float2, float2, float2, float2, (b…
      1.6       12,787,272         66    193,746.5    166,392.0      9,438    813,066    220,255.7  void fft1d_r2c_32<float, float, float2, (bool)1, (bool)0>(T3 *, const T1 *, int, int3, int3, int2, …
      1.4       11,874,371        104    114,176.6     63,126.5     15,070    505,175    115,171.3  void explicit_convolve_sgemm<float, int, (int)128, (int)6, (int)7, (int)3, (int)3, (int)5, (int)0, …
      1.4       11,635,081         26    447,503.1    197,347.5    185,157    752,755    283,838.6  std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, float2, float2, float2, float2, (…
      1.4       11,261,949         12    938,495.8    775,551.5    737,237  2,122,668    429,387.9  void gemv2T_kernel_val<int, int, float2, float2, float2, float2, (int)128, (int)16, (int)2, (int)2,…
      1.0        8,263,629        220     37,562.0     37,866.5     28,315     50,104      6,791.6  sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_tf32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize128x32x64_s…
      0.8        6,195,969        104     59,576.6     56,472.0     22,301    130,573     28,905.9  void cudnn::cnn::im2col4d_kernel<float, long>(cudnn::cnn::im2col4d_params, cudnnConvolutionStruct, …
      0.7        5,860,400      1,760      3,329.8      2,016.0      1,439     11,774      2,252.7  void onnxruntime::cuda::_UnaryElementWise<float, float, onnxruntime::cuda::OP_Relu<float>, (int)256…
      0.6        4,648,192         26    178,776.6    153,098.5    135,308    236,669     42,344.0  ampere_sgemm_128x128_nn                                                                             
      0.3        2,583,509        770      3,355.2      3,200.0      2,528      5,248        589.1  void cudnn::ops::nchwToNhwcKernel<float, float, float, (bool)0, (bool)1, (cudnnKernelDataType_t)0>(…
      0.3        2,429,534        110     22,086.7     21,660.0     21,309     43,033      2,138.5  std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, float, float, float, float, (bool…
      0.2        1,777,250        802      2,216.0      2,304.0      1,695      3,008        244.0  void cudnn::ops::nhwcToNchwKernel<float, float, float, (bool)1, (bool)0, (cudnnKernelDataType_t)0>(…
      0.2        1,715,021         82     20,914.9     18,893.0      8,095     34,331      6,176.1  void fft1d_r2c_32<float, float, float2, (bool)0, (bool)0>(T3 *, const T1 *, int, int3, int3, int2, …
      0.2        1,644,463        224      7,341.4      3,167.0      2,944     26,044      7,399.0  void fft2d_r2c_32x32<float, (bool)0, (unsigned int)0, (bool)0>(float2 *, const T1 *, int, int, int,…
      0.2        1,405,813          8    175,726.6    176,199.0    166,728    184,870      8,182.0  std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, float2, float2, float2, float2, (…
      0.2        1,352,511        174      7,773.1      7,583.0      6,559     19,165      1,233.9  void fft2d_c2r_32x32<float, (bool)1, (bool)0, (unsigned int)0, (bool)0, (bool)0>(T1 *, const float2…
      0.2        1,321,950        554      2,386.2      2,240.0      1,471      3,488        564.1  void cudnn::cnn::kern_precompute_indices<(bool)0>(int *, int, int, int, int, int)                   
      0.2        1,298,046         24     54,085.3     53,016.0     42,778     70,422      7,901.8  std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, float2, float2, float2, float2, (…
      0.1        1,096,385         26     42,168.7     29,788.0     13,662     82,356     23,255.2  void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::Win…
      0.1        1,042,023        110      9,472.9      9,375.0      9,182     14,174        491.0  void cudnn::ops::pooling_fw_4d_kernel<float, float, cudnn::maxpooling_func<float, float, (cudnnNanP…
      0.1          993,105         26     38,196.3     24,524.5     12,287     80,021     23,602.1  void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::Winog…
      0.1          919,545         26     35,367.1     31,467.0      3,391    139,500     44,348.2  void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::Win…
      0.1          686,077         18     38,115.4     41,226.0     30,364     42,362      5,173.6  void cutlass_cudnn_infer::Kernel<cutlass_tensorop_s1688fprop_optimized_tf32_64x64_32x5_nhwc_align4>…
      0.1          673,553        162      4,157.7      4,159.0      4,063      4,544         54.6  void gemv2N_kernel<int, int, float2, float2, float2, float2, (int)128, (int)1, (int)4, (int)4, (int…
      0.1          643,171          2    321,585.5    321,585.5    321,425    321,746        227.0  void cudnn::cnn::conv2d_grouped_direct_kernel<(bool)0, (bool)1, (bool)0, (bool)0, (bool)0, (bool)0,…
      0.1          513,302         52      9,871.2      9,198.5      7,007     17,182      2,424.6  void fft2d_c2r_32x32<float, (bool)0, (bool)0, (unsigned int)0, (bool)0, (bool)0>(T1 *, const float2…
      0.1          490,334         82      5,979.7      5,951.5      2,751     12,574      2,668.9  void fft1d_c2r_32<float2, float, float, (bool)0, (bool)1, (bool)0, (bool)0>(T3 *, const T1 *, int, …
      0.1          435,557         26     16,752.2     15,790.0     11,935     24,189      3,004.7  void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_64x64_32x6_nn_align4>(T1::Params)                
      0.0          369,993        110      3,363.6      3,360.0      3,040      3,488         55.2  void cudnn::ops::pooling_fw_4d_kernel<float, float, cudnn::averpooling_func<float, (bool)1>, (cudnn…
      0.0          328,949         22     14,952.2      9,278.5      8,415     24,958      7,432.6  void fft2d_c2r_64x64<float, (bool)0, (bool)1>(T1 *, float2 *, int, int, int, int, int, int, int, in…
      0.0          318,193         20     15,909.7     13,694.0     12,446     30,108      5,164.2  void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_128x64_16x6_nn_align4>(T1::Params)               
      0.0          311,121         48      6,481.7      5,711.0      4,703     11,519      1,970.6  void fft2d_c2r_16x16<float, (bool)0>(T1 *, float2 *, int, int, int, int, int, int, int, int, int, i…
      0.0          222,177          8     27,772.1     28,812.0     22,781     29,884      2,772.0  void cutlass_cudnn_infer::Kernel<cutlass_tensorop_s1688fprop_optimized_tf32_64x64_16x10_nhwc_align4…
      0.0          176,967        110      1,608.8      1,600.0      1,504      1,728         35.3  void gemmk1_kernel<int, float, (int)256, (int)5, (bool)0, (bool)0, (bool)0, (bool)0, cublasGemvTens…
      0.0          174,952          8     21,869.0     21,853.0     21,277     22,493        421.2  void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_256x64_16x4_nn_align4>(T1::Params)               
      0.0          132,491         14      9,463.6     10,734.0      6,687     12,254      2,377.3  void fft2d_c2r_32x32<float, (bool)0, (bool)0, (unsigned int)1, (bool)0, (bool)0>(T1 *, const float2…
      0.0          109,457          4     27,364.3     27,324.0     24,285     30,524      3,466.9  void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_64x64_32x6_nn_align1>(T1::Params)                
      0.0          106,160          6     17,693.3     17,709.0     17,278     18,174        294.7  void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_64x64_16x6_nn_align1>(T1::Params)                
      0.0           25,757         10      2,575.7      2,368.0      2,208      4,607        724.5  void splitKreduce_kernel<(int)32, (int)16, int, float, float, float, float, (bool)1, (bool)0, (bool…
      0.0           13,118          2      6,559.0      6,559.0      6,303      6,815        362.0  void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_64x64_16x6_nn_align4>(T1::Params)                
      0.0              895          1        895.0        895.0        895        895          0.0  void onnxruntime::cuda::_Fill<float, (int)256, (int)4>(T1 *, T1, int)                               

Processing [reports/onnx_infer_profile.sqlite] with [/opt/nvidia/nsight-systems/2024.4.1/host-linux-x64/reports/cuda_gpu_mem_time_sum.py]... 

 ** CUDA GPU MemOps Summary (by Time) (cuda_gpu_mem_time_sum):

 Time (%)  Total Time (ns)  Count  Avg (ns)   Med (ns)  Min (ns)  Max (ns)   StdDev (ns)           Operation          
 --------  ---------------  -----  ---------  --------  --------  ---------  -----------  ----------------------------
     97.9       25,900,910    218  118,811.5  93,266.0       416  1,426,321    219,602.9  [CUDA memcpy Host-to-Device]
      1.3          331,265    562      589.4     384.0       351     19,709        844.7  [CUDA memset]               
      0.9          229,472    110    2,086.1   1,984.0     1,472      7,359        599.2  [CUDA memcpy Device-to-Host]

Processing [reports/onnx_infer_profile.sqlite] with [/opt/nvidia/nsight-systems/2024.4.1/host-linux-x64/reports/cuda_gpu_mem_size_sum.py]... 

 ** CUDA GPU MemOps Summary (by Size) (cuda_gpu_mem_size_sum):

 Total (MB)  Count  Avg (MB)  Med (MB)  Min (MB)  Max (MB)  StdDev (MB)           Operation          
 ----------  -----  --------  --------  --------  --------  -----------  ----------------------------
    168.354    218     0.772     0.602     0.000     9.437        1.455  [CUDA memcpy Host-to-Device]
      0.440    110     0.004     0.004     0.004     0.004        0.000  [CUDA memcpy Device-to-Host]
      0.096    562     0.000     0.000     0.000     0.008        0.000  [CUDA memset]               

