 ** NVTX Range Summary (nvtx_sum):

 Time (%)  Total Time (ns)  Instances    Avg (ns)      Med (ns)     Min (ns)    Max (ns)   StdDev (ns)   Style                                                Range                                              
      0.1        1,271,127        100      12,711.3      12,257.5      10,127      21,791      1,916.5  PushPop  TensorRT:/layer2/layer2.1/conv2/Conv                                                            
      0.1        1,267,004        100      12,670.0      12,292.0       9,917      26,331      1,975.1  PushPop  TensorRT:/layer2/layer2.1/conv3/Conv                                                            
      0.1        1,261,213        100      12,612.1      12,187.5       9,150      19,556      1,683.3  PushPop  TensorRT:(Unnamed Layer* 124) [Shuffle]                                                         
      0.1        1,258,970        110      11,445.2       9,010.0       7,473     229,222     21,069.6  PushPop  TensorRT:/conv1/Conv + /relu/Relu + /maxpool/MaxPool                                            
      0.1        1,251,853        100      12,518.5      12,292.0      10,966      20,394      1,384.8  PushPop  TensorRT:/layer2/layer2.2/conv1/Conv                                                            
      0.1        1,247,520        100      12,475.2      12,223.0      11,035      23,257      1,444.2  PushPop  TensorRT:/layer1/layer1.0/conv3/Conv                                                            
      0.1        1,237,815        100      12,378.2      11,943.0      10,477      20,883      1,728.5  PushPop  TensorRT:/layer2/layer2.3/conv2/Conv                                                            
      0.1        1,236,276        110      11,238.9      10,930.5       9,498      18,159      1,378.7  PushPop  TensorRT:/layer3/layer3.0/conv3/Conv + /layer3/layer3.0/Add + /layer3/layer3.0/relu_2/Relu      
      0.1        1,235,995        110      11,236.3      10,825.5       9,917      20,673      1,747.7  PushPop  TensorRT:/layer2/layer2.1/conv2/Conv + /layer2/layer2.1/relu_1/Relu                             
      0.1        1,230,625        110      11,187.5      10,895.0       9,848      21,442      1,654.2  PushPop  TensorRT:/layer1/layer1.0/conv3/Conv + /layer1/layer1.0/Add + /layer1/layer1.0/relu_2/Relu      
      0.1        1,227,471        110      11,158.8      10,896.0       9,359      19,347      1,415.7  PushPop  TensorRT:/layer4/layer4.0/conv3/Conv + /layer4/layer4.0/Add + /layer4/layer4.0/relu_2/Relu      
      0.1        1,226,785        100      12,267.9      12,012.5       9,848      20,603      1,450.7  PushPop  TensorRT:/layer1/layer1.2/conv2/Conv                                                            
      0.1        1,225,313        110      11,139.2      10,616.0       9,848      22,000      1,924.6  PushPop  TensorRT:/layer1/layer1.1/conv1/Conv + /layer1/layer1.1/relu/Relu                               
      0.1        1,218,541        110      11,077.6      10,825.5       9,079      21,232      1,498.2  PushPop  TensorRT:/layer2/layer2.0/conv1/Conv + /layer2/layer2.0/relu/Relu                               
      0.1        1,217,909        100      12,179.1      11,873.5      10,057      28,496      2,068.9  PushPop  TensorRT:/layer2/layer2.2/conv2/Conv                                                            
      0.1        1,216,858        110      11,062.3      10,720.5       9,568      22,419      1,524.8  PushPop  TensorRT:/layer3/layer3.0/conv1/Conv + /layer3/layer3.0/relu/Relu                               
      0.1        1,216,652        110      11,060.5      10,546.0       9,848      27,728      2,267.1  PushPop  TensorRT:/layer3/layer3.5/conv3/Conv + /layer3/layer3.5/Add + /layer3/layer3.5/relu_2/Relu      
      0.1        1,214,557        110      11,041.4      10,860.5       9,639      17,670      1,143.4  PushPop  TensorRT:/layer2/layer2.0/conv3/Conv + /layer2/layer2.0/Add + /layer2/layer2.0/relu_2/Relu      
      0.1        1,212,670        110      11,024.3      10,826.0       9,848      20,464      1,361.1  PushPop  TensorRT:/layer1/layer1.0/conv2/Conv + /layer1/layer1.0/relu_1/Relu                             
      0.1        1,212,186        110      11,019.9      10,616.0       9,079      19,625      1,686.5  PushPop  TensorRT:/layer4/layer4.0/conv1/Conv + /layer4/layer4.0/relu/Relu                               
      0.1        1,210,708        110      11,006.4      10,616.0       9,918      21,860      1,352.6  PushPop  TensorRT:/layer3/layer3.1/conv2/Conv + /layer3/layer3.1/relu_1/Relu                             
      0.0        1,203,169        110      10,937.9      10,616.0       9,150      17,600      1,154.2  PushPop  TensorRT:/layer2/layer2.0/conv2/Conv + /layer2/layer2.0/relu_1/Relu                             
      0.0        1,199,605        110      10,905.5      10,616.0       9,010      19,416      1,371.7  PushPop  TensorRT:/layer4/layer4.2/conv3/Conv + /layer4/layer4.2/Add + /layer4/layer4.2/relu_2/Relu      
      0.0        1,198,906        110      10,899.1      10,546.0       8,660      22,071      1,606.0  PushPop  TensorRT:/layer3/layer3.3/conv1/Conv + /layer3/layer3.3/relu/Relu                               
      0.0        1,197,921        110      10,890.2      10,546.0       8,590      18,508      1,457.5  PushPop  TensorRT:/layer1/layer1.2/conv3/Conv + /layer1/layer1.2/Add + /layer1/layer1.2/relu_2/Relu      
      0.0        1,197,166        110      10,883.3      10,616.0       9,987      21,791      1,300.1  PushPop  TensorRT:/layer3/layer3.0/conv2/Conv + /layer3/layer3.0/relu_1/Relu                             
      0.0        1,197,026        110      10,882.1      10,616.0       9,149      20,114      1,298.3  PushPop  TensorRT:/layer4/layer4.1/conv3/Conv + /layer4/layer4.1/Add + /layer4/layer4.1/relu_2/Relu      
      0.0        1,196,052        110      10,873.2      10,546.0       8,870      23,467      1,537.8  PushPop  TensorRT:/layer3/layer3.2/conv3/Conv + /layer3/layer3.2/Add + /layer3/layer3.2/relu_2/Relu      
      0.0        1,195,837        110      10,871.2      10,476.0       9,499      23,956      1,998.5  PushPop  TensorRT:/layer1/layer1.1/conv3/Conv + /layer1/layer1.1/Add + /layer1/layer1.1/relu_2/Relu      
      0.0        1,195,138        110      10,864.9      10,616.0       8,940      19,905      1,347.0  PushPop  TensorRT:/layer3/layer3.1/conv3/Conv + /layer3/layer3.1/Add + /layer3/layer3.1/relu_2/Relu      
      0.0        1,195,138        110      10,864.9      10,616.0       9,499      18,648      1,091.4  PushPop  TensorRT:/layer4/layer4.1/conv1/Conv + /layer4/layer4.1/relu/Relu                               
      0.0        1,194,371        110      10,857.9      10,581.5       9,568      16,832      1,143.5  PushPop  TensorRT:/layer3/layer3.3/conv3/Conv + /layer3/layer3.3/Add + /layer3/layer3.3/relu_2/Relu      
      0.0        1,193,389        110      10,849.0      10,477.0       9,428      20,464      1,435.5  PushPop  TensorRT:/layer3/layer3.4/conv1/Conv + /layer3/layer3.4/relu/Relu                               
      0.0        1,189,693        110      10,815.4      10,476.0       8,101      20,813      1,624.3  PushPop  TensorRT:/layer3/layer3.5/conv2/Conv + /layer3/layer3.5/relu_1/Relu                             
      0.0        1,188,573        110      10,805.2      10,720.5       9,149      14,527        716.5  PushPop  TensorRT:/layer3/layer3.1/conv1/Conv + /layer3/layer3.1/relu/Relu                               
      0.0        1,184,804        110      10,770.9      10,476.0       8,940      20,673      1,500.5  PushPop  TensorRT:/layer2/layer2.3/conv1/Conv + /layer2/layer2.3/relu/Relu                               
      0.0        1,183,266        110      10,757.0      10,477.0       9,150      16,343      1,108.3  PushPop  TensorRT:/layer2/layer2.2/conv3/Conv + /layer2/layer2.2/Add + /layer2/layer2.2/relu_2/Relu      
      0.0        1,182,777        110      10,752.5      10,477.0       9,429      16,064        990.5  PushPop  TensorRT:/layer2/layer2.2/conv2/Conv + /layer2/layer2.2/relu_1/Relu                             
      0.0        1,181,726        110      10,743.0      10,476.0       9,498      15,435      1,117.2  PushPop  TensorRT:/layer2/layer2.3/conv2/Conv + /layer2/layer2.3/relu_1/Relu                             
      0.0        1,181,242        110      10,738.6      10,581.0       8,660      18,578        994.7  PushPop  TensorRT:/layer3/layer3.4/conv3/Conv + /layer3/layer3.4/Add + /layer3/layer3.4/relu_2/Relu      
      0.0        1,180,123        110      10,728.4      10,476.5       8,591      16,622      1,085.3  PushPop  TensorRT:/layer2/layer2.1/conv3/Conv + /layer2/layer2.1/Add + /layer2/layer2.1/relu_2/Relu      
      0.0        1,180,117        110      10,728.3      10,476.0       8,520      15,994      1,121.7  PushPop  TensorRT:/layer2/layer2.3/conv3/Conv + /layer2/layer2.3/Add + /layer2/layer2.3/relu_2/Relu      
      0.0        1,177,890        110      10,708.1      10,406.0       9,010      18,369      1,479.1  PushPop  TensorRT:/layer3/layer3.2/conv2/Conv + /layer3/layer3.2/relu_1/Relu                             
      0.0        1,177,677        110      10,706.2      10,441.5       8,731      26,680      1,776.3  PushPop  TensorRT:/layer1/layer1.2/conv2/Conv + /layer1/layer1.2/relu_1/Relu                             
      0.0        1,174,750        110      10,679.5      10,477.0       9,080      17,600        966.3  PushPop  TensorRT:/layer4/layer4.1/conv2/Conv + /layer4/layer4.1/relu_1/Relu                             
      0.0        1,172,507        110      10,659.2      10,406.0       8,032      20,254      1,455.3  PushPop  TensorRT:/layer3/layer3.3/conv2/Conv + /layer3/layer3.3/relu_1/Relu                             
      0.0        1,172,443        110      10,658.6      10,476.0       9,080      15,924      1,044.1  PushPop  TensorRT:/layer3/layer3.5/conv1/Conv + /layer3/layer3.5/relu/Relu                               
      0.0        1,168,462        110      10,622.4      10,476.0       9,149      25,213      1,502.6  PushPop  TensorRT:/layer1/layer1.1/conv2/Conv + /layer1/layer1.1/relu_1/Relu                             
      0.0        1,167,828        110      10,616.6      10,477.0       9,010      15,295        804.3  PushPop  TensorRT:/layer4/layer4.2/conv1/Conv + /layer4/layer4.2/relu/Relu                               
      0.0        1,166,233        110      10,602.1      10,476.0       9,150      14,458        812.5  PushPop  TensorRT:/layer3/layer3.2/conv1/Conv + /layer3/layer3.2/relu/Relu                               
      0.0        1,162,941        110      10,572.2      10,407.0       9,010      17,251      1,070.1  PushPop  TensorRT:/layer3/layer3.4/conv2/Conv + /layer3/layer3.4/relu_1/Relu                             
      0.0        1,161,625        110      10,560.2      10,476.0       9,080      15,295        726.4  PushPop  TensorRT:/layer2/layer2.2/conv1/Conv + /layer2/layer2.2/relu/Relu                               
      0.0        1,154,839        110      10,498.5      10,476.0       9,429      14,737        611.0  PushPop  TensorRT:/layer4/layer4.2/conv2/Conv + /layer4/layer4.2/relu_1/Relu                             
      0.0        1,152,179        110      10,474.4      10,406.0       8,590      14,736        727.3  PushPop  TensorRT:/layer1/layer1.2/conv1/Conv + /layer1/layer1.2/relu/Relu                               
      0.0        1,143,944        110      10,399.5      10,407.0       8,730      14,667        634.3  PushPop  TensorRT:/layer2/layer2.1/conv1/Conv + /layer2/layer2.1/relu/Relu                               
      0.0          871,983        100       8,719.8       8,451.0       6,635      19,696      1,608.8  PushPop  TensorRT:PWN(/relu/Relu)                                                                        
      0.0          860,459        100       8,604.6       8,102.0       6,635      26,121      2,384.5  PushPop  TensorRT:PWN(/layer3/layer3.3/relu_2/Relu)                                                      
      0.0          857,729        100       8,577.3       8,101.0       6,356      24,235      2,312.4  PushPop  TensorRT:PWN(/layer1/layer1.0/relu_1/Relu)                                                      
      0.0          852,076        100       8,520.8       8,032.0       7,054      18,928      1,944.3  PushPop  TensorRT:PWN(/layer3/layer3.1/relu_1/Relu)                                                      
      0.0          846,206        100       8,462.1       8,032.0       6,635      23,817      2,303.0  PushPop  TensorRT:PWN(/layer4/layer4.0/relu/Relu)                                                        
      0.0          841,392        100       8,413.9       8,032.0       5,727      17,880      1,992.1  PushPop  TensorRT:PWN(/layer1/layer1.2/relu_2/Relu)                                                      
      0.0          838,447        100       8,384.5       7,962.0       7,054      21,721      2,036.2  PushPop  TensorRT:PWN(/layer1/layer1.1/relu_2/Relu)                                                      
      0.0          836,013        100       8,360.1       8,102.0       6,566      14,667      1,229.2  PushPop  TensorRT:PWN(/layer2/layer2.3/relu_2/Relu)                                                      
      0.0          835,448        100       8,354.5       8,066.5       7,054      15,854      1,491.7  PushPop  TensorRT:PWN(/layer2/layer2.2/relu/Relu)                                                        
      0.0          834,689        100       8,346.9       7,857.5       6,635      20,603      2,009.9  PushPop  TensorRT:PWN(/layer4/layer4.2/relu_1/Relu)                                                      
      0.0          834,124        100       8,341.2       8,032.0       6,774      24,725      2,050.0  PushPop  TensorRT:PWN(/layer3/layer3.3/relu/Relu)                                                        
      0.0          833,776        100       8,337.8       8,032.0       6,635      18,788      1,691.4  PushPop  TensorRT:PWN(/layer3/layer3.1/relu/Relu)                                                        
      0.0          833,708        100       8,337.1       8,032.0       5,797      16,274      1,546.8  PushPop  TensorRT:PWN(/layer2/layer2.1/relu/Relu)                                                        
      0.0          833,502        100       8,335.0       7,962.0       6,565      16,344      1,597.8  PushPop  TensorRT:PWN(/layer3/layer3.5/relu_2/Relu)                                                      
      0.0          832,945        100       8,329.5       8,032.0       5,657      22,070      1,974.2  PushPop  TensorRT:PWN(/layer3/layer3.0/relu_2/Relu)                                                      
      0.0          832,657        100       8,326.6       8,031.0       6,565      17,671      1,565.8  PushPop  TensorRT:PWN(/layer2/layer2.1/relu_1/Relu)                                                      
      0.0          830,906        100       8,309.1       8,101.0       6,635      16,762      1,355.6  PushPop  TensorRT:PWN(/layer4/layer4.1/relu_2/Relu)                                                      
      0.0          829,160        100       8,291.6       8,032.0       6,705      17,530      1,659.8  PushPop  TensorRT:PWN(/layer2/layer2.0/relu_1/Relu)                                                      
      0.0          829,098        100       8,291.0       7,752.0       5,727      16,623      1,811.5  PushPop  TensorRT:PWN(/layer1/layer1.1/relu/Relu)                                                        
      0.0          827,215        100       8,272.2       8,101.0       6,565      13,340      1,115.9  PushPop  TensorRT:PWN(/layer2/layer2.3/relu_1/Relu)                                                      
      0.0          823,927        100       8,239.3       8,032.0       7,054      16,273      1,278.1  PushPop  TensorRT:PWN(/layer4/layer4.1/relu_1/Relu)                                                      
      0.0          822,529        100       8,225.3       8,032.0       6,146      17,251      1,582.1  PushPop  TensorRT:PWN(/layer1/layer1.0/relu/Relu)                                                        
      0.0          821,137        100       8,211.4       8,032.0       7,124      16,274      1,248.2  PushPop  TensorRT:PWN(/layer3/layer3.1/relu_2/Relu)                                                      
      0.0          820,784        100       8,207.8       8,031.0       6,285      16,273      1,300.2  PushPop  TensorRT:PWN(/layer2/layer2.2/relu_1/Relu)                                                      
      0.0          820,716        100       8,207.2       7,996.5       6,565      20,603      1,684.6  PushPop  TensorRT:PWN(/layer2/layer2.1/relu_2/Relu)                                                      
      0.0          820,296        100       8,203.0       7,683.0       6,635      17,041      1,715.3  PushPop  TensorRT:PWN(/layer2/layer2.2/relu_2/Relu)                                                      
      0.0          818,557        100       8,185.6       8,032.0       6,147      14,807      1,127.8  PushPop  TensorRT:PWN(/layer2/layer2.0/relu_2/Relu)                                                      
      0.0          818,343        100       8,183.4       8,032.0       6,635      13,898      1,052.5  PushPop  TensorRT:PWN(/layer4/layer4.0/relu_2/Relu)                                                      
      0.0          817,504        100       8,175.0       7,962.0       6,565      15,714      1,401.2  PushPop  TensorRT:PWN(/layer2/layer2.0/relu/Relu)                                                        
      0.0          816,246        100       8,162.5       8,101.0       7,124      11,874        710.6  PushPop  TensorRT:PWN(/layer4/layer4.2/relu_2/Relu)                                                      
      0.0          814,851        100       8,148.5       8,032.0       6,635      18,019      1,367.6  PushPop  TensorRT:PWN(/layer3/layer3.4/relu/Relu)                                                        
      0.0          813,593        100       8,135.9       7,962.0       6,216      17,042      1,298.0  PushPop  TensorRT:PWN(/layer3/layer3.5/relu/Relu)                                                        
      0.0          813,244        100       8,132.4       7,962.0       6,705      17,251      1,194.2  PushPop  TensorRT:PWN(/layer4/layer4.0/relu_1/Relu)                                                      
      0.0          812,829        100       8,128.3       7,753.0       6,705      18,159      1,461.3  PushPop  TensorRT:PWN(/layer1/layer1.2/relu/Relu)                                                        
      0.0          812,330        100       8,123.3       7,753.0       5,727      15,924      1,334.7  PushPop  TensorRT:PWN(/layer4/layer4.2/relu/Relu)                                                        
      0.0          812,130        100       8,121.3       7,962.0       6,146      21,511      1,636.2  PushPop  TensorRT:PWN(/layer1/layer1.1/relu_1/Relu)                                                      
      0.0          810,583        100       8,105.8       8,032.0       6,565      15,295      1,108.9  PushPop  TensorRT:PWN(/layer3/layer3.4/relu_1/Relu)                                                      
      0.0          807,876        100       8,078.8       7,962.0       6,146      12,991        966.9  PushPop  TensorRT:PWN(/layer1/layer1.0/relu_2/Relu)                                                      
      0.0          807,579        100       8,075.8       7,752.0       6,635      26,680      2,002.7  PushPop  TensorRT:PWN(/layer4/layer4.1/relu/Relu)                                                        
      0.0          806,117        100       8,061.2       8,032.0       6,635      21,511      1,413.9  PushPop  TensorRT:PWN(/layer3/layer3.0/relu_1/Relu)                                                      
      0.0          806,046        100       8,060.5       7,962.0       6,635      18,298      1,308.4  PushPop  TensorRT:PWN(/layer3/layer3.5/relu_1/Relu)                                                      
      0.0          804,229        100       8,042.3       7,927.5       6,565      13,968      1,065.0  PushPop  TensorRT:PWN(/layer3/layer3.0/relu/Relu)                                                        
      0.0          804,024        100       8,040.2       7,962.0       6,565      16,552      1,154.2  PushPop  TensorRT:PWN(/layer3/layer3.2/relu_1/Relu)                                                      
      0.0          803,400        100       8,034.0       7,962.0       6,705      13,758        774.6  PushPop  TensorRT:PWN(/layer3/layer3.3/relu_1/Relu)                                                      
      0.0          802,975        100       8,029.8       8,031.0       6,635      13,619        781.2  PushPop  TensorRT:PWN(/layer3/layer3.4/relu_2/Relu)                                                      
      0.0          799,342        100       7,993.4       7,683.0       6,565      14,108      1,086.7  PushPop  TensorRT:PWN(/layer2/layer2.3/relu/Relu)                                                        
